Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
scDEAL,Python,"10.1038/s41467-022-34277-7, 10.1101/2021.08.01.454654","2022-10-30, NA",12,https://github.com/OSU-BMBL/scDEAL,"Deep Transfer Learning of Drug Sensitivity by Integrating Bulk and Single-cell RNA-seq data",Apache-2.0,Perturbations
scDECAF,R,,,'-,https://github.com/DavisLaboratory/scDECAF,"scDECAF is a tool for mapping phenotype and celltype similarities in single cell RNAseq from a collection of genesets or makers such as those available from cellMarker, PanglaoDB and MSigDB",GPL-3.0,"Classification, Gene Sets"
scDecouple,R,10.1101/2023.01.31.526445,NA,0,https://github.com/MengQiuchen/scDecouple,"scDecouple is an R package that aims to decouple true cellular response from infected proportion bias in scCRISPR-seq",'-,"Gene Sets, Perturbations, Variants"
scDEED,R,10.1101/2023.04.21.537839,NA,1,https://github.com/JSB-UCLA/scDEED,"scDEED (single-cell dubious embeddings detector): a statistical method for detecting dubious non-linear embeddings",MIT,"Dimensionality Reduction"
scDeepCluster,Python,10.1038/s42256-019-0037-0,2019-04-09,144,https://github.com/ttgump/scDeepCluster,"scDeepCluster, a model-based deep embedded clustering for Single Cell RNA-seq data.",Apache-2.0,"Clustering, Dimensionality Reduction"
scDeepHash,Python,10.1101/2021.11.08.467820,NA,0,https://github.com/bowang-lab/scDeepHash,"An automatic cell type annotation and cell retrieval method for large-scale scRNA-seq datasets using neural network-based hashing",'-,Classification
scDeepInsight,Python,10.1101/2023.03.09.531861,NA,0,https://github.com/shangruJia/scDeepInsight,"scDeepInsight is a supervised deep learning-based single-cell method for annotation of single-cell RNA-sequencing datasets",'-,"Classification, Dimensionality Reduction"
scDeepSort,Python,"10.1093/nar/gkab775, 10.1101/2020.05.13.094953","2021-09-09, NA",46,https://github.com/ZJUFanLab/scDeepSort,"Cell-type Annotation for Single-cell Transcriptomics using Deep Learning with a Weighted Graph Neural Network",GPL-3.0,Classification
scDesign,R,"10.1093/bioinformatics/btz321, 10.1101/437095","2019-07-05, NA",42,https://github.com/Vivianstats/scDesign,"scDesign: a statistical simulator for rational scRNA-seq experimental design",GPL-2.0,Simulation
scDesign2,R,"10.1089/cmb.2021.0440, 10.1101/2020.11.17.387795, 10.1186/s13059-021-02367-2","2022-01-01, NA, 2021-05-25",30,https://github.com/JSB-UCLA/scDesign2,"An interpretable simulator that generates realistic single-cell gene expression count data with gene correlations captured",MIT,Simulation
scDesign3,R,"10.1038/s41587-023-01772-1, 10.1101/2022.09.20.508796","2023-05-11, NA",10,https://github.com/SONGDONGYUAN1994/scDesign3,"scDesign3 is an all-in-one single-cell data simulation tool by using reference datasets with different cell states(cell types, trajectories or and spatial coordinates), different modalities(gene expression, chromatin accessibility, protein abundance, methylation,etc), and complex experimental designs",MIT,"Simulation, Visualisation"
scDetect,R,10.1093/bioinformatics/btab410,2021-05-28,2,https://github.com/IVDgenomicslab/scDetect,"scDetect is a new cell type ensemble learning classification method for single-cell RNA sequencing across different data platforms, using a combination of gene expression rank-based method and majority vote ensemble machine-learning probability-based prediction method",MIT,Classification
scDGN,Python,"10.1089/cmb.2020.0439, 10.1101/2020.01.06.896621","2021-05-01, NA",17,https://github.com/SongweiGe/scDGN,"Supervised Adversarial Alignment of scRNA-seq Data",'-,"Dimensionality Reduction, Integration"
scDHA,R/C++,"10.1038/s41467-021-21312-2, 10.1101/799817","2021-02-15, NA",60,https://github.com/duct317/scDHA,"The scDHA software package can perform cell segregation through unsupervised learning, dimension reduction and visualization, cell classification, and time-trajectory inference on single-cell RNA sequencing data",GPL-3.0,"Classification, Clustering, Dimensionality Reduction, Gene Filtering, Ordering, Visualisation"
scDHMap,Python,10.1101/gr.277068.122,2023-02-27,1,https://github.com/ttgump/scDHMap,"scDHMap can be used for various dimensionality reduction tasks including revealing trajectory branches, batch correction, and denoising highly dropout counts",Apache-2.0,"Dimensionality Reduction, Variable Genes"
scdiff,Python,10.1101/gr.225979.117,2018-01-09,35,https://github.com/phoenixding/scdiff,"SCDIFF is a python package designed to analyze the cell differentiation process using time-series single cell RNA-seq data.",MIT,"Gene Networks, Interactive, Ordering, Visualisation"
scDiffCom,R,10.1101/2021.08.13.456238,NA,11,https://github.com/CyrilLagger/scDiffCom,"scDiffCom infers cell type to cell type communication signals from scRNA-seq Seurat objects, and more particularly investigates how these interactions change between two biological conditions",MIT,"Gene Networks, Visualisation"
scDisInFact,Python,10.1101/2023.05.01.538975,NA,0,https://github.com/ZhangLabGT/scDisInFact,"scDisInFact is a single-cell data integration and condition effect prediction framework",GPL-3.0,"Dimensionality Reduction, Integration, Perturbations"
scDist,R,10.1101/2023.05.06.539326,NA,0,https://github.com/phillipnicol/scDist,"Robust identification of perturbed cell types in single-cell RNA-seq data",MIT,"Perturbations, Simulation, Visualisation"
scdNet,MATLAB,10.1186/s12918-018-0652-0,2018-12-21,12,https://github.com/ChenLabGCCRI/scdNet,"scdNet: a computational tool for single-cell differential network analysis",'-,"Gene Networks, Gene Sets"
scdney,R,"10.1093/bib/bby076, 10.1186/s12859-019-3211-9","2018-08-22, 2019-12-24",107,https://github.com/sydneybiox/scdney,"scdney is a R package with collection of single cell RNA-sequencing (scRNA-seq) data analysis functions",'-,"Classification, Clustering, Visualisation"
scDoc,R,"10.1093/bioinformatics/btaa283, 10.1101/731638","2020-05-04, NA",12,https://github.com/anlingUA/scDoc,"Single-Cell RNA-seq Drop-Out Correction (scDoc)",'-,Imputation
scdrake,R,10.1093/bioadv/vbad089,2023-07-06,0,https://github.com/bioinfocz/scdrake,"{scdrake} is a scalable and reproducible pipeline for secondary analysis of droplet-based single-cell RNA-seq data",MIT,"Cell Cycle, Classification, Clustering, Dimensionality Reduction, Integration, Marker Genes, Normalisation, Quality Control, Variable Genes, Visualisation"
scDREAMER,Python,10.1101/2022.07.12.499846,NA,0,https://github.com/Zafar-Lab/scDREAMER,"scDREAMER is a single-cell data integration framework that employs a novel adversarial variational autoencoder for learning lower-dimensional cellular embeddings and a batch classifier neural network for the removal of batch effects",MIT,Integration
scDRS,Python,"10.1038/s41588-022-01167-z, 10.1101/2021.09.24.461597","2022-09-01, NA",24,https://github.com/martinjzhang/scDRS,"scDRS (single-cell disease-relevance score) is a method for associating individual cells in single-cell RNA-seq data with disease GWASs",MIT,Variants
scDrug,Python,10.1016/j.csbj.2022.11.055,2023,3,https://github.com/ailabstw/scDrug,"The scDrug constructed a workflow for comprehensive analysis on single-cell RNA sequencing (scRNA-seq) data",'-,Perturbations
scds,R,"10.1093/bioinformatics/btz698, 10.1101/564021","2019-09-10, NA",109,https://github.com/kostkalab/scds,"single cell doublet scoring: In-silico doublet annotation for single cell RNA sequencing data",MIT,"Quality Control"
sceb,Python,10.1101/389296,NA,17,https://github.com/martinjzhang/single_cell_eb,"Empirical Bayes estimators for single-cell RNA-Seq analysis",'-,"Variable Genes"
scEC,R/Python,10.1101/2020.10.01.322255,NA,1,https://github.com/mjcasy/scEC,"Single-cell Entropic Clustering (scEC) provides an entropy based approach to normalisation, feature selection, differential expression analysis and unsupervised clustering of single-cell RNA-sequencing data",MIT,"Clustering, Differential Expression, Variable Genes"
Scedar,Python,"10.1101/375196, 10.1371/journal.pcbi.1007794","NA, 2020-04-27",10,https://github.com/TaylorResearchLab/scedar,"Scedar (Single-cell exploratory data analysis for RNA-Seq) is a reliable and easy-to-use Python package for efficient visualization, imputation of gene dropouts, detection of rare transcriptomic profiles, and clustering of large-scale single cell RNA-seq (scRNA-seq) datasets.",MIT,"Clustering, Dimensionality Reduction, Imputation, Marker Genes, Rare Cells, Visualisation"
scEFSC,R/Python,10.1016/j.csbj.2022.04.023,2022-04,9,https://github.com/Conan-Bian/scEFSC,"Accurate single-cell RNA-seq data analysis via ensemble consensus clustering based on multiple feature selections",LPL-1.0,Clustering
SCell,MATLAB,10.1093/bioinformatics/btw201,2016-04-19,42,https://github.com/diazlab/SCell,"SCell is an integrated software tool for quality filtering, normalization, feature selection, iterative dimensionality reduction, clustering and the estimation of gene-expression gradients from large ensembles of single-cell RNA-seq datasets. SCell is open source, and implemented with an intuitive graphical interface.",GPL-1.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Interactive, Normalisation, Ordering, Quality Control, Visualisation"
SCellBOW,Python,10.1101/2022.12.28.522060,NA,0,https://github.com/cellsemantics/SCellBOW,"SCellBOW (short for Single Cell Bag of Words) is an unsupervised transfer learning algorithm for clustering scRNA-seq data and phenotype algebra analysis on the clusters using distributed Bag-of-Words",'-,"Clustering, Dimensionality Reduction"
SCelVis,Python,"10.1101/713008, 10.7717/peerj.8607","NA, 2020-02-19",8,https://github.com/bihealth/scelvis,"SCelVis: Easy Single-Cell Visualization",MIT,"Interactive, Visualisation"
scEMAIL,Python,10.1016/j.gpb.2022.12.008,2023-01,1,https://github.com/aster-ww/scEMAIL,"Universal and Source-free Annotation Method for scRNA-seq Data with Novel Cell-type Perception",'-,"Classification, Dimensionality Reduction"
SCENA,R,10.1093/bib/bbab236,2021-06-23,18,https://github.com/shaoqiangzhang/SCENA,"SCENA (Single-cell Clustering by Enhancing Network Affinity)",MIT,"Clustering, Dimensionality Reduction, Visualisation"
SCENIC,R/Python,"10.1038/nmeth.4463, 10.1038/s41596-020-0336-2, 10.1101/144501","2017-10-09, 2020-06-19, NA",2850,https://github.com/aertslab/SCENIC,"SCENIC is a tool to infer Gene Regulatory Networks and cell types from single-cell RNA-seq data.",Custom,"Clustering, Gene Networks, Visualisation"
scenicplus,Python,10.1101/2022.08.19.504505,NA,34,https://github.com/aertslab/scenicplus,"SCENIC+ is a python package to build gene regulatory networks (GRNs) using combined or separate single-cell gene expression (scRNA-seq) and single-cell chromatin accessibility (scATAC-seq) data",'-,"Clustering, Differential Expression, Dimensionality Reduction, Gene Networks, Integration, Quality Control, Visualisation"
SCEnt,R,,,'-,https://github.com/hwarden162/SCEnt,"SCEnt is a package for single cell entropy analysis",GPL-3.0,"Gene Filtering, Variable Genes"
SCENT,R,"10.1038/ncomms15599, 10.1093/bioinformatics/btaa987, 10.1101/084202","2017-06-01, 2020-11-27, NA",197,https://github.com/aet21/SCENT,"scent is an R-package for analysis of single-cell RNA-Seq data. It uses single-cell entropy to help analyse and interpret such data.",GPL-3.0,"Ordering, Stem Cells"
scEpath,MATLAB,10.1093/bioinformatics/bty058,2018-02-05,78,https://github.com/sqjin/scEpath,"scEpath is a novel computational method for quantitatively measuring developmental potency and plasticity of single cells and transition probabilities between cell states, and inferring lineage relationships and pseudotemporal ordering from single-cell gene expression data.",'-,"Clustering, Dimensionality Reduction, Expression Patterns, Gene Networks, Normalisation, Ordering, Quality Control, Visualisation"
scETM,Python,"10.1038/s41467-021-25534-2, 10.1101/2021.01.13.426593","2021-09-06, NA",28,https://github.com/hui2000ji/scETM,"A generative topic model that facilitates integrative analysis of large-scale single-cell RNA sequencing data.",BSD-3-Clause,"Dimensionality Reduction, Integration"
SCEVAN,R/C,"10.1038/s41467-023-36790-9, 10.1101/2021.11.20.469390","2023-02-25, NA",13,https://github.com/AntonioDeFalco/SCEVAN,"Easy-to-use R package that automatically classifies the cells in the scRNA data by segregating non-malignant cells of tumor microenviroment from the malignant cells",GPL-3.0,"Classification, Variants"
scEvoNet,Python,"10.1101/2022.12.07.519467, 10.1186/s12859-023-05213-3","NA, 2023-03-06",0,https://github.com/monsoro/scEvoNet,"scEvoNet generates cell state / gene network between species or different time points in the same organism using scRNA-seq matrices as an input",MIT,"Gene Networks, Ordering"
scFates,Python,"10.1093/bioinformatics/btac746, 10.1101/2022.07.09.498657","2022-11-17, NA",10,https://github.com/LouisFaure/scFates,"A scalable Python suite for fast tree inference and advanced pseudotime downstream analysis",BSD-3-Clause,"Ordering, Visualisation"
scFBA,MATLAB,"10.1101/256644, 10.1371/journal.pcbi.1006733","NA, 2019-02-28",65,https://github.com/BIMIB-DISCo/scFBA,"scFBA is a suite of MATLAB functions to perform a single-cell Flux Balance Analysis (scFBA).",'-,"Gene Networks, Integration"
scFEA,Python,"10.1093/nar/gkad444, 10.1101/2020.09.23.310656, 10.1101/2022.06.18.496660, 10.1101/gr.271205.120","2023-05-22, NA, NA, 2021-07-22",48,https://github.com/changwn/scFEA,"scFEA (single cell Flux Estimation Analysis) infers single cell fluxome from single cell RNA-sequencing (scRNA-seq) data",MIT,"Gene Networks"
scFeatureFilter,R,10.1007/978-3-319-78723-7_31,2018-03-28,0,https://github.com/gdevailly/scFeatureFilter,"An R package to set thresholds for feature (gene, transcript, ...) filtering in single cell RNA sequencing analyses",MIT,"Gene Filtering, Visualisation"
scFeatures,R,"10.1093/bioinformatics/btac590, 10.1101/2022.01.20.476845","2022-08-30, NA",5,https://github.com/SydneyBioX/scFeatures,"scFeatures is a tool that generates multi-view representations of single-cell and spatial data through the construction of a total of 17 feature types",GPL-3.0,Integration
scfind,R/C++,"10.1038/s41592-021-01076-9, 10.1101/788596","2021-03-01, NA",11,https://github.com/hemberg-lab/scfind,"scfind - Fast searches of large collections of single cell data",GPL-3.0,"Classification, Interactive, Marker Genes"
scFlow,R,10.1101/2021.08.16.456499,NA,7,https://github.com/combiz/scflow,"The scFlow R package is built to enable standardized workflows following best practices on top of popular single-cell R packages, including Seurat, Monocle, scater, emptyDrops, DoubletFinder, LIGER, and MAST",GPL-3.0,"Classification, Clustering, Dimensionality Reduction, Gene Sets, Integration, Marker Genes, Quality Control, Visualisation"
scFormer,Python,10.1101/2022.11.20.517285,NA,0,https://github.com/bowang-lab/scFormer,"scFormer, a novel transformer-based deep learning framework to jointly optimize cell and gene embeddings for single-cell biology",'-,"Dimensionality Reduction"
